"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|RS","01.01.2020 00:00 - 01.01.2020 01:00 (CET/CEST)","17","3209","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1107","0","n/e","n/e","69","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 01:00 - 01.01.2020 02:00 (CET/CEST)","17","3189","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1188","0","n/e","n/e","67","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 02:00 - 01.01.2020 03:00 (CET/CEST)","17","3222","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","973","0","n/e","n/e","68","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 03:00 - 01.01.2020 04:00 (CET/CEST)","17","3152","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","713","0","n/e","n/e","67","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 04:00 - 01.01.2020 05:00 (CET/CEST)","17","3157","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","444","0","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 05:00 - 01.01.2020 06:00 (CET/CEST)","17","3180","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","379","0","n/e","n/e","114","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 06:00 - 01.01.2020 07:00 (CET/CEST)","17","3258","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","412","0","n/e","n/e","115","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 07:00 - 01.01.2020 08:00 (CET/CEST)","17","3212","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","500","0","n/e","n/e","116","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 08:00 - 01.01.2020 09:00 (CET/CEST)","17","3240","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","620","0","n/e","n/e","114","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 09:00 - 01.01.2020 10:00 (CET/CEST)","17","3254","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","851","0","n/e","n/e","114","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 10:00 - 01.01.2020 11:00 (CET/CEST)","17","3185","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1110","0","n/e","n/e","111","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 11:00 - 01.01.2020 12:00 (CET/CEST)","17","3053","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1340","0","n/e","n/e","108","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 12:00 - 01.01.2020 13:00 (CET/CEST)","17","3018","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1326","0","n/e","n/e","101","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 13:00 - 01.01.2020 14:00 (CET/CEST)","17","3067","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1039","0","n/e","n/e","101","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 14:00 - 01.01.2020 15:00 (CET/CEST)","17","3151","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","893","0","n/e","n/e","102","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 15:00 - 01.01.2020 16:00 (CET/CEST)","17","3151","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","862","0","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 16:00 - 01.01.2020 17:00 (CET/CEST)","17","3230","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1063","0","n/e","n/e","105","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 17:00 - 01.01.2020 18:00 (CET/CEST)","17","3319","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1063","0","n/e","n/e","104","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 18:00 - 01.01.2020 19:00 (CET/CEST)","17","3386","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1007","0","n/e","n/e","111","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 19:00 - 01.01.2020 20:00 (CET/CEST)","17","3380","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1006","3","n/e","n/e","115","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 20:00 - 01.01.2020 21:00 (CET/CEST)","17","3249","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1078","19","n/e","n/e","115","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 21:00 - 01.01.2020 22:00 (CET/CEST)","17","3044","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1264","19","n/e","n/e","113","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 22:00 - 01.01.2020 23:00 (CET/CEST)","17","2929","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1408","5","n/e","n/e","75","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2020 23:00 - 02.01.2020 00:00 (CET/CEST)","17","2956","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1435","0","n/e","n/e","73","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 00:00 - 02.01.2020 01:00 (CET/CEST)","17","3057","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1333","0","n/e","n/e","72","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 01:00 - 02.01.2020 02:00 (CET/CEST)","17","3063","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","932","0","n/e","n/e","71","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 02:00 - 02.01.2020 03:00 (CET/CEST)","17","3019","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","532","0","n/e","n/e","73","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 03:00 - 02.01.2020 04:00 (CET/CEST)","17","3050","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","436","0","n/e","n/e","71","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 04:00 - 02.01.2020 05:00 (CET/CEST)","17","3070","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","446","0","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 05:00 - 02.01.2020 06:00 (CET/CEST)","17","3098","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","433","0","n/e","n/e","113","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 06:00 - 02.01.2020 07:00 (CET/CEST)","17","2861","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","811","0","n/e","n/e","116","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 07:00 - 02.01.2020 08:00 (CET/CEST)","17","2752","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1000","0","n/e","n/e","114","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 08:00 - 02.01.2020 09:00 (CET/CEST)","17","2817","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1122","0","n/e","n/e","114","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 09:00 - 02.01.2020 10:00 (CET/CEST)","17","2865","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1302","0","n/e","n/e","113","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 10:00 - 02.01.2020 11:00 (CET/CEST)","17","2866","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1389","0","n/e","n/e","108","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 11:00 - 02.01.2020 12:00 (CET/CEST)","17","2991","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1309","0","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2020 12:00 - 02.01.2020 13:00 (CET/CEST)","17","3041","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1223","0","n/e","n/e","94","n/e","n/e","n/e","n/e","n/e"
