"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|RS","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","27","2840","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1485","0","n/e","n/e","86","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","27","2787","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1656","0","n/e","n/e","87","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","27","2756","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1506","0","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","27","2660","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1278","0","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","27","2673","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1083","0","n/e","n/e","93","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","27","2655","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","994","0","n/e","n/e","121","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","27","2695","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1120","0","n/e","n/e","129","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","27","2734","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1128","0","n/e","n/e","130","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","27","2684","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1353","0","n/e","n/e","128","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","27","2702","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1477","0","n/e","n/e","108","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","27","2722","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1656","0","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","27","2718","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1756","0","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","27","2697","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1782","0","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","27","2787","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1633","12","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","27","2812","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1446","21","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","27","2793","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1524","0","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","27","2870","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1525","0","n/e","n/e","108","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","27","2831","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1494","0","n/e","n/e","115","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","27","2793","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1503","0","n/e","n/e","118","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","27","2711","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1607","0","n/e","n/e","111","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","27","2708","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1597","8","n/e","n/e","104","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","27","2789","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1487","23","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","27","2851","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1312","8","n/e","n/e","86","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","27","2835","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1322","0","n/e","n/e","86","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","27","2728","n/e","1","n/e","n/e","n/e","n/e","n/e","0","","1399","0","n/e","n/e","87","n/e","n/e","n/e","n/e","n/e"
