"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|RS","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","27","2060","n/e","101","n/e","n/e","n/e","n/e","n/e","0","","1139","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","27","2044","n/e","101","n/e","n/e","n/e","n/e","n/e","0","","1229","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","27","2025","n/e","102","n/e","n/e","n/e","n/e","n/e","0","","1051","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","27","2049","n/e","102","n/e","n/e","n/e","n/e","n/e","0","","829","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","27","2104","n/e","101","n/e","n/e","n/e","n/e","n/e","0","","835","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","27","2089","n/e","95","n/e","n/e","n/e","n/e","n/e","0","","900","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","27","2099","n/e","96","n/e","n/e","n/e","n/e","n/e","0","","1180","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","27","2100","n/e","95","n/e","n/e","n/e","n/e","n/e","0","","1006","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","27","2077","n/e","97","n/e","n/e","n/e","n/e","n/e","0","","1143","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","27","2110","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1376","14","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","27","2146","n/e","101","n/e","n/e","n/e","n/e","n/e","0","","1530","20","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","27","2126","n/e","100","n/e","n/e","n/e","n/e","n/e","0","","1625","19","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","27","2098","n/e","100","n/e","n/e","n/e","n/e","n/e","0","","1630","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","27","2089","n/e","101","n/e","n/e","n/e","n/e","n/e","0","","1594","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","27","2125","n/e","101","n/e","n/e","n/e","n/e","n/e","0","","1552","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","27","2118","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1528","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","27","2122","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1671","87","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","27","2090","n/e","98","n/e","n/e","n/e","n/e","n/e","0","","1847","93","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","27","2123","n/e","98","n/e","n/e","n/e","n/e","n/e","0","","1803","90","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","27","2109","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1773","110","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","27","2035","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1649","112","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","27","1958","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1583","138","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","27","1936","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1456","134","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","27","1957","n/e","98","n/e","n/e","n/e","n/e","n/e","0","","1397","130","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","27","1943","n/e","103","n/e","n/e","n/e","n/e","n/e","0","","1346","8","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","27","1924","n/e","102","n/e","n/e","n/e","n/e","n/e","0","","1132","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","27","1933","n/e","103","n/e","n/e","n/e","n/e","n/e","0","","895","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
