"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|RS","02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","27","1942","n/e","103","n/e","n/e","n/e","n/e","n/e","0","","756","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","27","1944","n/e","102","n/e","n/e","n/e","n/e","n/e","0","","767","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","27","1949","n/e","94","n/e","n/e","n/e","n/e","n/e","0","","757","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","27","1963","n/e","93","n/e","n/e","n/e","n/e","n/e","0","","1061","90","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST)","27","1977","n/e","95","n/e","n/e","n/e","n/e","n/e","0","","1102","110","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 08:00 - 02.01.2022 09:00 (CET/CEST)","27","1980","n/e","96","n/e","n/e","n/e","n/e","n/e","0","","1325","132","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 09:00 - 02.01.2022 10:00 (CET/CEST)","27","1965","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1516","127","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 10:00 - 02.01.2022 11:00 (CET/CEST)","27","1962","n/e","100","n/e","n/e","n/e","n/e","n/e","0","","1419","66","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 11:00 - 02.01.2022 12:00 (CET/CEST)","27","1966","n/e","100","n/e","n/e","n/e","n/e","n/e","0","","1465","13","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 12:00 - 02.01.2022 13:00 (CET/CEST)","27","1953","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1371","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 13:00 - 02.01.2022 14:00 (CET/CEST)","27","1962","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1299","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 14:00 - 02.01.2022 15:00 (CET/CEST)","27","1954","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1182","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 15:00 - 02.01.2022 16:00 (CET/CEST)","27","1965","n/e","95","n/e","n/e","n/e","n/e","n/e","0","","1253","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 16:00 - 02.01.2022 17:00 (CET/CEST)","27","1946","n/e","95","n/e","n/e","n/e","n/e","n/e","0","","1377","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 17:00 - 02.01.2022 18:00 (CET/CEST)","27","1956","n/e","95","n/e","n/e","n/e","n/e","n/e","0","","1504","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 18:00 - 02.01.2022 19:00 (CET/CEST)","27","1921","n/e","97","n/e","n/e","n/e","n/e","n/e","0","","1504","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 19:00 - 02.01.2022 20:00 (CET/CEST)","27","1918","n/e","93","n/e","n/e","n/e","n/e","n/e","0","","1425","8","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 20:00 - 02.01.2022 21:00 (CET/CEST)","27","1931","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1301","22","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 21:00 - 02.01.2022 22:00 (CET/CEST)","27","1931","n/e","98","n/e","n/e","n/e","n/e","n/e","0","","1390","24","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 22:00 - 02.01.2022 23:00 (CET/CEST)","27","1927","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1491","23","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","02.01.2022 23:00 - 03.01.2022 00:00 (CET/CEST)","27","1939","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1570","21","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 00:00 - 03.01.2022 01:00 (CET/CEST)","27","1939","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1594","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 01:00 - 03.01.2022 02:00 (CET/CEST)","27","1935","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1367","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 02:00 - 03.01.2022 03:00 (CET/CEST)","27","1930","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1108","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 03:00 - 03.01.2022 04:00 (CET/CEST)","27","1971","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","887","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 04:00 - 03.01.2022 05:00 (CET/CEST)","27","2025","n/e","96","n/e","n/e","n/e","n/e","n/e","0","","772","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 05:00 - 03.01.2022 06:00 (CET/CEST)","27","2007","n/e","94","n/e","n/e","n/e","n/e","n/e","0","","809","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 06:00 - 03.01.2022 07:00 (CET/CEST)","27","2007","n/e","97","n/e","n/e","n/e","n/e","n/e","0","","1107","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 07:00 - 03.01.2022 08:00 (CET/CEST)","27","2023","n/e","97","n/e","n/e","n/e","n/e","n/e","0","","1193","9","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 08:00 - 03.01.2022 09:00 (CET/CEST)","27","2032","n/e","98","n/e","n/e","n/e","n/e","n/e","0","","1467","26","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 09:00 - 03.01.2022 10:00 (CET/CEST)","27","2026","n/e","100","n/e","n/e","n/e","n/e","n/e","0","","1728","26","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 10:00 - 03.01.2022 11:00 (CET/CEST)","27","2053","n/e","102","n/e","n/e","n/e","n/e","n/e","0","","1795","25","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 11:00 - 03.01.2022 12:00 (CET/CEST)","27","2054","n/e","102","n/e","n/e","n/e","n/e","n/e","0","","1812","16","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 12:00 - 03.01.2022 13:00 (CET/CEST)","27","2036","n/e","94","n/e","n/e","n/e","n/e","n/e","0","","1811","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 13:00 - 03.01.2022 14:00 (CET/CEST)","27","2033","n/e","78","n/e","n/e","n/e","n/e","n/e","0","","1778","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 14:00 - 03.01.2022 15:00 (CET/CEST)","27","2119","n/e","76","n/e","n/e","n/e","n/e","n/e","0","","1646","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 15:00 - 03.01.2022 16:00 (CET/CEST)","27","2106","n/e","77","n/e","n/e","n/e","n/e","n/e","0","","1625","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 16:00 - 03.01.2022 17:00 (CET/CEST)","27","2092","n/e","77","n/e","n/e","n/e","n/e","n/e","0","","1812","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 17:00 - 03.01.2022 18:00 (CET/CEST)","27","2092","n/e","84","n/e","n/e","n/e","n/e","n/e","0","","1893","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 18:00 - 03.01.2022 19:00 (CET/CEST)","27","2102","n/e","83","n/e","n/e","n/e","n/e","n/e","0","","1782","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 19:00 - 03.01.2022 20:00 (CET/CEST)","27","2131","n/e","87","n/e","n/e","n/e","n/e","n/e","0","","1801","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 20:00 - 03.01.2022 21:00 (CET/CEST)","27","2110","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1650","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 21:00 - 03.01.2022 22:00 (CET/CEST)","27","2114","n/e","98","n/e","n/e","n/e","n/e","n/e","0","","1454","18","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 22:00 - 03.01.2022 23:00 (CET/CEST)","27","2099","n/e","97","n/e","n/e","n/e","n/e","n/e","0","","1553","18","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","03.01.2022 23:00 - 04.01.2022 00:00 (CET/CEST)","27","2094","n/e","96","n/e","n/e","n/e","n/e","n/e","0","","1572","12","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 00:00 - 04.01.2022 01:00 (CET/CEST)","27","2084","n/e","95","n/e","n/e","n/e","n/e","n/e","0","","1312","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 01:00 - 04.01.2022 02:00 (CET/CEST)","27","2091","n/e","91","n/e","n/e","n/e","n/e","n/e","0","","975","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 02:00 - 04.01.2022 03:00 (CET/CEST)","27","2111","n/e","90","n/e","n/e","n/e","n/e","n/e","0","","685","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 03:00 - 04.01.2022 04:00 (CET/CEST)","27","2119","n/e","92","n/e","n/e","n/e","n/e","n/e","0","","539","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 04:00 - 04.01.2022 05:00 (CET/CEST)","27","2124","n/e","91","n/e","n/e","n/e","n/e","n/e","0","","692","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 05:00 - 04.01.2022 06:00 (CET/CEST)","27","2074","n/e","94","n/e","n/e","n/e","n/e","n/e","0","","754","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 06:00 - 04.01.2022 07:00 (CET/CEST)","27","2099","n/e","95","n/e","n/e","n/e","n/e","n/e","0","","870","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 07:00 - 04.01.2022 08:00 (CET/CEST)","27","2103","n/e","95","n/e","n/e","n/e","n/e","n/e","0","","1140","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 08:00 - 04.01.2022 09:00 (CET/CEST)","27","2095","n/e","94","n/e","n/e","n/e","n/e","n/e","0","","1191","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 09:00 - 04.01.2022 10:00 (CET/CEST)","27","2068","n/e","100","n/e","n/e","n/e","n/e","n/e","0","","1306","21","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 10:00 - 04.01.2022 11:00 (CET/CEST)","27","2087","n/e","100","n/e","n/e","n/e","n/e","n/e","0","","1294","25","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 11:00 - 04.01.2022 12:00 (CET/CEST)","27","2108","n/e","100","n/e","n/e","n/e","n/e","n/e","0","","1229","22","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 12:00 - 04.01.2022 13:00 (CET/CEST)","27","2109","n/e","102","n/e","n/e","n/e","n/e","n/e","0","","1178","4","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 13:00 - 04.01.2022 14:00 (CET/CEST)","27","2086","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1101","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 14:00 - 04.01.2022 15:00 (CET/CEST)","27","2107","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","977","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 15:00 - 04.01.2022 16:00 (CET/CEST)","27","2131","n/e","97","n/e","n/e","n/e","n/e","n/e","0","","949","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 16:00 - 04.01.2022 17:00 (CET/CEST)","27","2139","n/e","96","n/e","n/e","n/e","n/e","n/e","0","","1168","75","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 17:00 - 04.01.2022 18:00 (CET/CEST)","27","2128","n/e","96","n/e","n/e","n/e","n/e","n/e","0","","1249","93","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 18:00 - 04.01.2022 19:00 (CET/CEST)","27","2143","n/e","97","n/e","n/e","n/e","n/e","n/e","0","","1283","84","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 19:00 - 04.01.2022 20:00 (CET/CEST)","27","2131","n/e","94","n/e","n/e","n/e","n/e","n/e","0","","1340","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 20:00 - 04.01.2022 21:00 (CET/CEST)","27","2147","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","1353","12","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 21:00 - 04.01.2022 22:00 (CET/CEST)","27","2160","n/e","98","n/e","n/e","n/e","n/e","n/e","0","","1402","29","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 22:00 - 04.01.2022 23:00 (CET/CEST)","27","2156","n/e","101","n/e","n/e","n/e","n/e","n/e","0","","1362","29","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","04.01.2022 23:00 - 05.01.2022 00:00 (CET/CEST)","27","2117","n/e","100","n/e","n/e","n/e","n/e","n/e","0","","1418","18","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 00:00 - 05.01.2022 01:00 (CET/CEST)","27","2116","n/e","100","n/e","n/e","n/e","n/e","n/e","0","","1415","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 01:00 - 05.01.2022 02:00 (CET/CEST)","27","2093","n/e","101","n/e","n/e","n/e","n/e","n/e","0","","1282","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 02:00 - 05.01.2022 03:00 (CET/CEST)","27","2117","n/e","100","n/e","n/e","n/e","n/e","n/e","0","","964","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 03:00 - 05.01.2022 04:00 (CET/CEST)","27","2107","n/e","100","n/e","n/e","n/e","n/e","n/e","0","","796","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 04:00 - 05.01.2022 05:00 (CET/CEST)","27","2105","n/e","99","n/e","n/e","n/e","n/e","n/e","0","","720","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 05:00 - 05.01.2022 06:00 (CET/CEST)","27","2085","n/e","90","n/e","n/e","n/e","n/e","n/e","0","","734","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 06:00 - 05.01.2022 07:00 (CET/CEST)","27","2124","n/e","91","n/e","n/e","n/e","n/e","n/e","0","","1073","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 07:00 - 05.01.2022 08:00 (CET/CEST)","27","2100","n/e","94","n/e","n/e","n/e","n/e","n/e","0","","1208","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 08:00 - 05.01.2022 09:00 (CET/CEST)","27","2139","n/e","98","n/e","n/e","n/e","n/e","n/e","0","","1360","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 09:00 - 05.01.2022 10:00 (CET/CEST)","27","2220","n/e","97","n/e","n/e","n/e","n/e","n/e","0","","1451","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 10:00 - 05.01.2022 11:00 (CET/CEST)","27","2226","n/e","96","n/e","n/e","n/e","n/e","n/e","0","","1466","15","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 11:00 - 05.01.2022 12:00 (CET/CEST)","27","2194","n/e","95","n/e","n/e","n/e","n/e","n/e","0","","1453","18","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 12:00 - 05.01.2022 13:00 (CET/CEST)","27","2110","n/e","93","n/e","n/e","n/e","n/e","n/e","0","","1552","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 13:00 - 05.01.2022 14:00 (CET/CEST)","27","2044","n/e","96","n/e","n/e","n/e","n/e","n/e","0","","1578","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 14:00 - 05.01.2022 15:00 (CET/CEST)","27","2032","n/e","85","n/e","n/e","n/e","n/e","n/e","0","","1546","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 15:00 - 05.01.2022 16:00 (CET/CEST)","27","2021","n/e","72","n/e","n/e","n/e","n/e","n/e","0","","1533","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 16:00 - 05.01.2022 17:00 (CET/CEST)","27","2055","n/e","79","n/e","n/e","n/e","n/e","n/e","0","","1564","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 17:00 - 05.01.2022 18:00 (CET/CEST)","27","2058","n/e","79","n/e","n/e","n/e","n/e","n/e","0","","1634","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 18:00 - 05.01.2022 19:00 (CET/CEST)","27","2053","n/e","87","n/e","n/e","n/e","n/e","n/e","0","","1677","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 19:00 - 05.01.2022 20:00 (CET/CEST)","27","2042","n/e","96","n/e","n/e","n/e","n/e","n/e","0","","1724","0","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
"BZN|RS","05.01.2022 20:00 - 05.01.2022 21:00 (CET/CEST)","27","2048","n/e","93","n/e","n/e","n/e","n/e","n/e","0","","1676","9","n/e","n/e","30","n/e","n/e","n/e","n/e","n/e"
